wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
46090,Lome,Togo,Medium,Coastal (Breakwater),1.2,295.0,14.5,6.133333000000000,1.283333000000000
46130,Lagos,Nigeria,Large,River (Natural),7.0,0.0,14.0,6.400000000000000,3.400000000000000
46208,Onne,Nigeria,Very Small,River (Natural),1.8,0.0,9.2,4.683333000000000,7.150000000000000
46530,Matadi,Congo (Kinshasa),Small,River (Natural),1.8,167.0,7.9,-5.816667000000000,13.449999999999999
46542,Kizomba B Terminal,Angola,Very Small,Open Roadstead,0.0,0.0,23.2,-6.350000000000000,11.150000000000000
46545,Soyo Angola Lng Terminal,Angola,Very Small,River (Natural),1.5,0.0,5.2,-6.116667000000000,12.333333000000000
46850,Durban,South Africa,Large,Coastal (Breakwater),2.0,0.0,11.0,-29.866667000000000,31.066666999999999
46920,Porto Belo,Mozambique,Small,Open Roadstead,2.0,0.0,3.4,-17.699999999999999,37.183332999999998
47010,Dar Es Salaam,Tanzania,Medium,Coastal (Natural),3.0,0.0,9.4,-6.816667000000000,39.299999999999997
47030,Tanga,Tanzania,Small,Coastal (Natural),4.0,0.0,17.1,-5.083333000000000,39.116667000000000
47100,Mombasa,Kenya,Medium,Coastal (Tide Gates),3.0,0.0,14.0,-4.066667000000000,39.666666999999997
47150,Marka,Somalia,Very Small,Open Roadstead,3.0,0.0,23.2,1.716667000000000,44.783332999999999
48120,Yanbu,Saudi Arabia,Very Small,Coastal (Breakwater),0.8,0.0,14.0,24.083333000000000,38.049999999999997
48140,Jiddah,Saudi Arabia,Small,Coastal (Breakwater),0.5,0.0,15.5,21.483332999999998,39.183332999999998
48142,Jizan,Saudi Arabia,Small,Coastal (Breakwater),1.7,200.0,13.5,16.899999999999999,42.483333000000002
48480,Jazireh-Ye Lavan Oil Terminal,Iran,Very Small,Open Roadstead,2.0,0.0,0.0,26.783332999999999,53.333333000000003
48533,Bandar Taheri Offshore Terminal,Iran,Very Small,Coastal (Natural),1.2,0.0,0.0,27.649999999999999,52.350000000000001
50000,Keppel - (East Singapore),Singapore,Large,Coastal (Natural),3.0,0.0,12.5,1.283333000000000,103.849999999999994
51440,Dili,Timor-Leste,Small,Coastal (Natural),5.0,0.0,23.2,-8.533333000000001,125.583332999999996
51850,Gunung Batu Besar,Indonesia,Very Small,River (Natural),1.0,0.0,4.9,-2.616667000000000,116.299999999999997
52065,Bitung,Indonesia,Very Small,Coastal (Natural),4.0,0.0,7.9,1.433333000000000,125.183333000000005
53010,Manokwari Road,Indonesia,Very Small,Coastal (Natural),1.0,0.0,9.4,-0.866667000000000,134.083333000000010
53230,Lae,Papua New Guinea,Very Small,Open Roadstead,1.0,0.0,11.0,-6.733333000000000,147.000000000000000
53318,Cape Flattery Harbor,Australia,Small,Open Roadstead,1.0,0.0,0.0,-14.949999999999999,145.349999999999994
53610,Newcastle,Australia,Large,Coastal (Breakwater),2.1,185.0,17.7,-32.916666999999997,151.783332999999999
53810,Eden,Australia,Very Small,Coastal (Breakwater),1.0,0.0,9.4,-37.066667000000002,149.916666999999990
54255,Port Giles,Australia,Very Small,Open Roadstead,1.0,0.0,12.5,-35.033332999999999,137.766667000000012
54690,Karumba,Australia,Very Small,River (Natural),4.0,0.0,3.4,-17.483332999999998,140.833333000000010
54830,Dover,Australia,Very Small,Coastal (Natural),1.0,0.0,12.5,-43.316667000000002,147.033332999999999
56190,Hana,United States,Very Small,Coastal (Natural),0.6,0.0,9.4,20.750000000000000,-155.983332999999988
56600,Moen,Federated States of Micronesia,Very Small,Open Roadstead,1.0,0.0,7.9,7.433333000000000,151.833333000000010
57650,Da Nang,Vietnam,Small,River (Natural),1.2,0.0,12.5,16.100000000000001,108.216667000000001
57870,Xiamen,China,Medium,River (Natural),6.9,0.0,9.5,24.449999999999999,118.066666999999995
58370,Manila,Philippines,Large,Coastal (Breakwater),1.0,0.0,9.4,14.583333000000000,120.966667000000001
60290,Kyomip'o,North Korea,Very Small,River (Natural),3.0,0.0,9.4,38.733333000000002,125.616667000000007
60400,Ulsan,South Korea,Medium,River (Natural),1.0,0.0,18.6,35.450000000000003,129.400000000000006
60435,Sokch'o Hang,South Korea,Very Small,Coastal (Breakwater),0.0,0.0,7.9,38.200000000000003,128.599999999999994
60470,Ch'aho,North Korea,Very Small,Coastal (Breakwater),1.0,0.0,7.9,40.200000000000003,128.650000000000006
60500,Ch'ongjin,North Korea,Small,Coastal (Natural),1.0,0.0,17.1,41.766666999999998,129.816666999999995
61500,Toba,Japan,Small,Coastal (Natural),4.0,0.0,7.9,34.483333000000002,136.849999999999994
61967,Shingu,Japan,Very Small,Coastal (Breakwater),2.0,0.0,9.4,33.666666999999997,135.983332999999988
62145,Kanda,Japan,Very Small,Coastal (Natural),2.0,0.0,11.0,33.783332999999999,131.016667000000012
62800,Arkhangels'k,Russia,Medium,River (Natural),1.0,0.0,7.9,64.529722222000004,40.521666666999998
62950,Murmansk,Russia,Large,River (Natural),3.0,0.0,7.9,68.983333000000002,33.049999999999997
